molecule_chembl_id,canonical_smiles,standard_value
CHEMBL220379,COC(=O)c1ccnc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c1,0.6
CHEMBL219953,O=C(O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,50.0
CHEMBL219942,O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,100.0
CHEMBL219818,O=C(O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)o1,850.0
CHEMBL220449,COc1cc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc(OC)n1,400.0
CHEMBL376201,COc1ncc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)c(OC)n1,9000.0
CHEMBL220125,O=C(CCCCCCc1ccccc1)c1ncco1,2500.0
CHEMBL220729,O=C(O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,970.0
CHEMBL220784,COC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,30.0
CHEMBL219675,NC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,350.0
CHEMBL376417,O=C(CCCCCCc1ccccc1)c1ncc(C(=O)N2CCCCC2)o1,450.0
CHEMBL220770,N#Cc1cnc(C(=O)CCCCCCc2ccccc2)o1,6.5
CHEMBL373606,O=C(CCCCCCc1ccccc1)c1ncc(C(F)(F)F)o1,77.0
CHEMBL373555,O=C(CCCCCCc1ccccc1)c1ncc(Br)o1,190.0
CHEMBL220687,O=C(CCCCCCc1ccccc1)c1ncc(-c2cc(=O)[nH]c(=O)[nH]2)o1,5.0
CHEMBL220731,O=C(CCCCCCc1ccccc1)c1ncc(-c2c[nH]c(=O)[nH]c2=O)o1,680.0
CHEMBL391682,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCNC(=O)Nc1ccccc1,10000.0
CHEMBL233595,CCN(CCCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1)C(=O)Oc1ccccc1F,100000.0
CHEMBL393155,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCC(NC(=O)Oc1ccccc1F)c1ccccc1,110.0
CHEMBL233594,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCC(NC(=O)Oc1ccccc1F)C(C)C,250.0
CHEMBL232784,CCC(CCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1)NC(=O)Oc1ccccc1F,30.0
CHEMBL232783,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCC(C)NC(=O)Oc1ccccc1F,4.2
CHEMBL233593,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCNC(=O)Oc1ccccc1,5.3
CHEMBL401425,COC(=O)COc1ccc(-n2cnc(-c3ccccc3)c2-c2ccccc2)cc1,670.0
CHEMBL232786,Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CCCCCCNC(=O)Oc1c(F)cccc1F,24.0
CHEMBL393156,Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CCCCCCNC(=O)Oc1ccccc1F,10.0
CHEMBL232785,CCOC(=O)CCCCCCn1c(C)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1,64.0
CHEMBL233596,CCCN(CCCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1)C(=O)Oc1ccccc1F,100000.0
CHEMBL232782,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCNC(=O)Oc1ccccc1F,2.0
CHEMBL233792,CNC(=O)NCCCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1,10000.0
CHEMBL445160,Cc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCC(=O)N(C)C,970.0
CHEMBL232992,CNC(=O)CCCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1,1700.0
CHEMBL392706,CCOC(=O)CC(CCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1)C(C)C,100000.0
CHEMBL232991,CCOC(=O)CC(CC)CCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1,9900.0
CHEMBL392067,CCOC(=O)CC(C)CCCCCn1c(C)nc(-c2ccccc2)c1-c1ccccc1,130.0
CHEMBL234003,CCc1nc(-c2ccccc2)c(-c2ccccc2)n1CCCCCCCC(=O)OC,31.0
CHEMBL237044,CCOC(=O)CCCCCCn1c(CC)nc(-c2ccccc2)c1-c1ccccc1,11.0
CHEMBL237043,CCOC(=O)CCCCCn1c(CC)nc(-c2ccccc2)c1-c1ccccc1,32.0
CHEMBL428727,CCOC(=O)CCCOc1cccc(-n2cnc(-c3ccccc3)c2-c2ccccc2)c1,91.0
CHEMBL428372,COC(=O)COc1cccc(-n2cnc(-c3ccccc3)c2-c2ccccc2)c1,6500.0
CHEMBL234879,CCOC(=O)CCCOc1ccc(-n2cnc(-c3ccccc3)c2-c2ccccc2)cc1,64.0
CHEMBL232787,CCOC(=O)CCCCOc1ccc(-n2cnc(-c3ccccc3)c2-c2ccccc2)cc1,10000.0
CHEMBL402615,CCCCSCC(=O)C(F)(F)F,40000.0
CHEMBL270375,CCCCCCCCCCCCSCC(=O)C(F)(F)F,84.0
CHEMBL270374,CCCCCCCCCCSCC(=O)C(F)(F)F,120.0
CHEMBL89506,CCCCCCCCSCC(=O)C(F)(F)F,230.0
CHEMBL440542,CCCCCCSCC(=O)C(F)(F)F,1950.0
CHEMBL189886,O=C(C(=O)c1ccccc1)c1ccccc1,40000.0
CHEMBL86668,CCCCCCCCCCC(=O)C(F)(F)F,1250.0
CHEMBL257071,CCCCCCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F,250.0
CHEMBL272075,CCCCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F,2200.0
CHEMBL273139,CCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F,14800.0
CHEMBL155621,CCCCCCS(=O)(=O)CC(=O)C(F)(F)F,40000.0
CHEMBL273138,CCCCCCCCCCCC[S+]([O-])CC(=O)C(F)(F)F,440.0
CHEMBL269931,CCCCCCCCCC[S+]([O-])CC(=O)C(F)(F)F,760.0
CHEMBL270373,CCCCCCCC[S+]([O-])CC(=O)C(F)(F)F,6500.0
CHEMBL155396,CCCCCC[S+]([O-])CC(=O)C(F)(F)F,40000.0
CHEMBL403288,CCCC[S+]([O-])CC(=O)C(F)(F)F,40000.0
CHEMBL255760,O=C(CCCC1CCN(C(=O)OCc2ccccc2)CC1)c1ncco1,4.0
CHEMBL255544,CC(C)OC(=O)N1CCC(CCCC(=O)c2ncco2)CC1,4.0
CHEMBL257893,CC(C)S(=O)(=O)N1CCC(CCCC(=O)c2ncco2)CC1,140.0
CHEMBL402546,CC(C)(C)CC(=O)N1CCC(CCCC(=O)c2ncco2)CC1,90.0
CHEMBL257892,CC(C)C(=O)N1CCC(CCCC(=O)c2ncco2)CC1,250.0
CHEMBL257894,O=C(CCCC1CCN(S(=O)(=O)CCc2ccccc2)CC1)c1ncco1,6.0
CHEMBL255145,O=C(CCCC1CCN(S(=O)(=O)Cc2ccccc2)CC1)c1ncco1,600.0
CHEMBL255146,O=C(CCCC1CCN(S(=O)(=O)c2ccccc2)CC1)c1ncco1,2.5
CHEMBL256009,O=C(CCCC1CCN(C(=O)CCC2CCCCC2)CC1)c1ncco1,3.0
CHEMBL270186,O=C(CCCC1CCN(C(=O)CC2CCCCC2)CC1)c1ncco1,100.0
CHEMBL271446,O=C(CCCC1CCN(C(=O)C2CCCCC2)CC1)c1ncco1,45.0
CHEMBL271447,O=C(CCCC1CCN(C(=O)CCc2ccccc2)CC1)c1ncco1,22.0
CHEMBL271660,O=C(CCCC1CCN(C(=O)Cc2ccccc2)CC1)c1ncco1,500.0
CHEMBL257945,O=C(CCCC1CCN(C(=O)c2ccccc2)CC1)c1ncco1,77.0
CHEMBL270189,CC(C)(C)OC(=O)N1CCC(CCCC(=O)c2ncco2)CC1,2.0
CHEMBL270404,O=C(CCCC1CCNCC1)c1ncco1,5700.0
CHEMBL273152,CC(C)c1ccc(CN2CCC(CCCC(=O)c3ncco3)CC2)cc1,3.6
CHEMBL428874,CC(C)c1cccc(CN2CCC(CCCC(=O)c3ncco3)CC2)c1,1.0
CHEMBL271445,CC(C)Oc1ccc(CN2CCC(CCCC(=O)c3ncco3)CC2)cc1,14.0
CHEMBL430036,CC(C)Oc1cccc(CN2CCC(CCCC(=O)c3ncco3)CC2)c1,5.0
CHEMBL272098,O=C(CCCC1CCN(Cc2ccc(Br)cc2)CC1)c1ncco1,45.0
CHEMBL257942,O=C(CCCC1CCN(Cc2cccc(Br)c2)CC1)c1ncco1,10.0
CHEMBL271420,O=C(CCCC1CCN(Cc2ccccc2Br)CC1)c1ncco1,315.0
CHEMBL269975,O=C(CCCC1CCN(Cc2ccc(Cl)cc2)CC1)c1ncco1,66.0
CHEMBL255801,O=C(CCCC1CCN(Cc2cccc(Cl)c2)CC1)c1ncco1,60.0
CHEMBL255803,O=C(CCCC1CCN(Cc2ccccc2Cl)CC1)c1ncco1,260.0
CHEMBL403360,COc1ccc(CN2CCC(CCCC(=O)c3ncco3)CC2)cc1,130.0
CHEMBL257024,COc1cccc(CN2CCC(CCCC(=O)c3ncco3)CC2)c1,34.0
CHEMBL257225,COc1ccccc1CN1CCC(CCCC(=O)c2ncco2)CC1,4000.0
CHEMBL428776,Cc1ccc(CN2CCC(CCCC(=O)c3ncco3)CC2)cc1,400.0
CHEMBL257226,Cc1cccc(CN2CCC(CCCC(=O)c3ncco3)CC2)c1,90.0
CHEMBL272081,Cc1ccccc1CN1CCC(CCCC(=O)c2ncco2)CC1,1200.0
CHEMBL403903,O=C(CCCC1CCN(Cc2ccccc2)CC1)c1ncco1,315.0
CHEMBL460273,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,33.0
CHEMBL472189,COc1ccc(-c2nsc(N3CCN(C(=O)Nc4ccccc4)CC3)n2)cc1,10000.0
CHEMBL472188,Cc1cccc(-c2nsc(N3CCN(C(=O)Nc4ccccc4)CC3)n2)c1,69.0
CHEMBL472187,Cc1ccc(-c2nsc(N3CCN(C(=O)Nc4ccccc4)CC3)n2)cc1,10000.0
CHEMBL472530,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccc(Cl)cc3)ns2)CC1,10000.0
CHEMBL472529,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccc(F)cc3)ns2)CC1,833.0
CHEMBL512882,CSc1ccccc1NC(=O)N1CCN(c2nc(-c3ccccc3)ns2)CC1,1066.0
CHEMBL471321,O=C(Nc1ccccc1OC(F)(F)F)N1CCN(c2nc(-c3ccccc3)ns2)CC1,10000.0
CHEMBL471320,O=C(Nc1ccccc1C(F)(F)F)N1CCN(c2nc(-c3ccccc3)ns2)CC1,10000.0
CHEMBL471155,O=C(Nc1ccc([N+](=O)[O-])cc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,10000.0
CHEMBL470108,O=C(Nc1ccc(SC(F)(F)F)cc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,10000.0
CHEMBL470107,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,5000.0
CHEMBL472535,O=C(Nc1ccccc1F)N1CCN(c2nc(-c3ccccc3)ns2)CC1,19.0
CHEMBL472534,O=C(Nc1cccc(F)c1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,143.0
CHEMBL518812,O=C(Nc1ccc(F)cc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,96.0
CHEMBL461935,O=C(Nc1ccccc1Cl)N1CCN(c2nc(-c3ccccc3)ns2)CC1,31.7
CHEMBL461753,O=C(Nc1cccc(Cl)c1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,257.0
CHEMBL461752,O=C(Nc1ccc(Cl)cc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,347.0
CHEMBL518657,Cc1ccccc1NC(=O)N1CCN(c2nc(-c3ccccc3)ns2)CC1,2000.0
CHEMBL518653,Cc1cccc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)c1,193.0
CHEMBL461569,Cc1ccc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)cc1,1300.0
CHEMBL461380,COc1ccccc1NC(=O)N1CCN(c2nc(-c3ccccc3)ns2)CC1,173.0
CHEMBL516650,COc1cccc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)c1,1860.0
CHEMBL461942,COc1ccc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)cc1,152.0
CHEMBL513073,O=C(Nc1ccncc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,26.7
CHEMBL488868,O=C(Nc1nn[nH]n1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,320.0
CHEMBL488867,O=C(Nc1ccon1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,70.0
CHEMBL487848,Cc1cnc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)s1,10000.0
CHEMBL487847,O=C(Nc1nc(-c2ccccc2)cs1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,320.0
CHEMBL528547,O=C(Nc1cc(-c2ccccc2)n[nH]1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,1037.0
CHEMBL488686,O=C(Nc1ccn[nH]1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,1167.0
CHEMBL527204,O=C(Nc1cccc2nsnc12)N1CCN(c2nc(-c3ccccc3)ns2)CC1,2.02
CHEMBL528768,O=C(Nc1cnccn1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,23.0
CHEMBL488523,O=C(Nc1nccnn1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,2667.0
CHEMBL488709,O=C(Nc1ccc(Cl)nn1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,50.0
CHEMBL528107,N#Cc1cncnc1NC(=O)N1CCN(c2nc(-c3ccccc3)ns2)CC1,253.0
CHEMBL488708,COc1cc(NC(=O)N2CCN(c3nc(-c4ccccc4)ns3)CC2)ncn1,13.0
CHEMBL508120,O=C(Nc1ccncn1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,10.3
CHEMBL486673,O=C(Nc1ncccn1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,266.0
CHEMBL513553,O=C(Nc1cccnc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,9.8
CHEMBL184238,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,2187.0
CHEMBL460340,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccs5)CC4)cc3)sc2c1,11.0
CHEMBL463184,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCNC(=O)NCc1ccc(OC)c(O)c1,2000.0
CHEMBL32886,CCCCCCCCCCCCCCCC(=O)NCC,3548.13
CHEMBL32433,CCCCCCCCCCCCCCCC(=O)NCCCCl,2511.89
CHEMBL33355,CCCCCCCCCCCCCCCC(=O)NCCCl,2630.27
CHEMBL33716,CCCCCCCCCCCCCCCC(=O)NCCBr,3548.13
CHEMBL32650,C=CCNC(=O)CCCCCCCCCCCCCCC,3388.44
CHEMBL32174,CCCCCCCCCCCCCCCC(=O)NCCCO,3801.89
CHEMBL458601,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1cccnc1,1200.0
CHEMBL15594,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,100000.0
CHEMBL151167,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCCl,900.0
CHEMBL458170,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC12CC3CC(CC(C3)C1)C2,37400.0
CHEMBL457976,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC1CC1,1400.0
CHEMBL15848,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,3400.0
CHEMBL486157,O=C(CCCC1CCN(Cc2cccc(Oc3ccccc3)c2)CC1)c1ncco1,0.4
CHEMBL431202,O=C(NC1CCCCC1)Oc1cccc(-c2ccccc2)c1,63.0
CHEMBL77250,O=C(NC1CCCCC1)Oc1ccc2ccccc2c1,324.0
CHEMBL46917,CNC(=O)Oc1cccc2ccccc12,30000.0
CHEMBL449764,O=C(c1ncco1)C1CCN(Cc2cc3ccccc3s2)CC1,2.0
CHEMBL458987,CCCCCCCC/C=C\CCCCCCCNC(=O)Oc1cccc(-c2cccc(C(N)=O)c2)c1,58.0
CHEMBL451909,NC(=O)c1cccc(-c2cccc(OC(=O)NCCCCCCc3ccccc3)c2)c1,14.0
CHEMBL457918,CNC(=O)COC(=O)N1CCC(CCc2ccc(Cl)cc2)CC1,13.0
CHEMBL458988,CCOC(=O)CCCc1ccc(-n2c(CC)nc(-c3ccccc3)c2-c2ccccc2)cc1,64.0
CHEMBL245217,O=C(NC1CCCC1)Oc1cccc(C(=O)c2nc3ccccc3o2)c1,28000.0
CHEMBL389742,O=C(NC1CCCC1)Oc1cccc(C(=O)c2nc3ccccc3s2)c1,47000.0
CHEMBL230224,O=C(Nc1cccc(C(=O)c2nc3ccccc3o2)c1)NC1CCCC1,300000.0
CHEMBL465213,O=C(O)c1cncc(OC(=O)N2CCC(CCCc3ccccc3Cl)CC2)c1,12.0
CHEMBL465214,O=C(NCC1CCCCC1)Oc1ccc(C(=O)O)cc1,100.0
CHEMBL459151,OB(O)c1ccc(Oc2ccccc2)cc1,10.0
CHEMBL487449,C=CCCCC1CN(C(=O)CCC=C)C1=O,4500.0
CHEMBL483697,NC(=O)c1cccc(-c2cccc(OC(=O)NCc3ccc4ccccc4c3)c2)c1,0.63
CHEMBL381905,CCCCCCCCCCCCCCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=S,1148.15
CHEMBL487447,C=CCCCC1(CCCC=C)CNC1=O,259000.0
CHEMBL454297,C=CCCC(=O)N1CC(CCC=C)C1=O,21900.0
CHEMBL487448,C=CCCC(=O)N1CC(CC=C)C1=O,61800.0
CHEMBL158897,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,70000.0
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,100000.0
CHEMBL561068,O=C(N1CCCCC1)N1CC(OC(c2ccc(Cl)cc2)c2cccnc2Cl)C1,291.0
CHEMBL555563,O=C(N1CCCCC1)N1CC(O[C@@H](c2ccc(Cl)cc2)c2cccnc2Cl)C1,140.0
CHEMBL558709,O=C(N1CCCCC1)N1CC(O[C@H](c2ccc(Cl)cc2)c2cccnc2Cl)C1,10000.0
CHEMBL560590,O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1,16.2
CHEMBL513789,O=C(Nc1ccccc1)N1CCN(Cc2ccc3ccccc3n2)CC1,33.0
CHEMBL578794,Cc1ccccc1N1C(=O)C=CC1=O,500000.0
CHEMBL567421,Cc1cccc(N2C(=O)C=CC2=O)c1,500000.0
CHEMBL578795,Cc1ccc(N2C(=O)C=CC2=O)cc1,500000.0
CHEMBL574140,CCc1ccccc1N1C(=O)C=CC1=O,500000.0
CHEMBL568527,CCc1cccc(N2C(=O)C=CC2=O)c1,103000.0
CHEMBL577071,CCc1ccc(N2C(=O)C=CC2=O)cc1,163000.0
CHEMBL568528,CCCc1ccc(N2C(=O)C=CC2=O)cc1,186000.0
CHEMBL568529,CC(C)c1ccccc1N1C(=O)C=CC1=O,65000.0
CHEMBL576625,CC(C)c1ccc(N2C(=O)C=CC2=O)cc1,120000.0
CHEMBL565892,CCCCCCCc1ccc(N2C(=O)C=CC2=O)cc1,87000.0
CHEMBL565893,O=C1C=CC(=O)N1c1ccc(O)cc1,288000.0
CHEMBL565904,COc1ccccc1N1C(=O)C=CC1=O,500000.0
CHEMBL566111,COc1cccc(N2C(=O)C=CC2=O)c1,500000.0
CHEMBL568288,COc1ccc(N2C(=O)C=CC2=O)cc1,500000.0
CHEMBL579012,O=C1C=CC(=O)N1c1ccccc1F,295000.0
CHEMBL574358,O=C1C=CC(=O)N1c1cccc(F)c1,89000.0
CHEMBL583956,O=C1C=CC(=O)N1c1ccc(F)cc1,120000.0
